2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps1
75: acc=69.99% acc_corr=72.93% avg#q_ae=33.72 med#q=76.0, avg_margin=4.88, buff=19194, (n_ex=9597, eps=1.000, 488.83s)
76: acc=69.89% acc_corr=72.82% avg#q_ae=33.89 med#q=77.0, avg_margin=4.86, buff=19194, (n_ex=9597, eps=1.000, 494.31s)
77: acc=69.73% acc_corr=72.66% avg#q_ae=34.16 med#q=78.0, avg_margin=4.85, buff=19194, (n_ex=9597, eps=1.000, 499.86s)
78: acc=69.58% acc_corr=72.50% avg#q_ae=34.42 med#q=79.0, avg_margin=4.83, buff=19194, (n_ex=9597, eps=1.000, 505.32s)
79: acc=69.39% acc_corr=72.30% avg#q_ae=34.76 med#q=80.0, avg_margin=4.81, buff=19194, (n_ex=9597, eps=1.000, 510.86s)
80: acc=69.14% acc_corr=72.04% avg#q_ae=35.20 med#q=81.0, avg_margin=4.79, buff=19194, (n_ex=9597, eps=1.000, 516.50s)
81: acc=68.97% acc_corr=71.87% avg#q_ae=35.50 med#q=82.0, avg_margin=4.77, buff=19194, (n_ex=9597, eps=1.000, 522.03s)
82: acc=68.92% acc_corr=71.81% avg#q_ae=35.59 med#q=83.0, avg_margin=4.76, buff=19194, (n_ex=9597, eps=1.000, 527.48s)
83: acc=68.83% acc_corr=71.72% avg#q_ae=35.75 med#q=84.0, avg_margin=4.74, buff=19194, (n_ex=9597, eps=1.000, 532.91s)
84: acc=68.51% acc_corr=71.39% avg#q_ae=36.34 med#q=85.0, avg_margin=4.71, buff=19194, (n_ex=9597, eps=1.000, 538.43s)
85: acc=68.27% acc_corr=71.14% avg#q_ae=36.77 med#q=86.0, avg_margin=4.68, buff=19194, (n_ex=9597, eps=1.000, 543.94s)
86: acc=68.13% acc_corr=70.99% avg#q_ae=37.03 med#q=87.0, avg_margin=4.66, buff=19194, (n_ex=9597, eps=1.000, 549.31s)
87: acc=67.79% acc_corr=70.64% avg#q_ae=37.66 med#q=88.0, avg_margin=4.63, buff=19194, (n_ex=9597, eps=1.000, 554.76s)
88: acc=67.72% acc_corr=70.56% avg#q_ae=37.79 med#q=89.0, avg_margin=4.61, buff=19194, (n_ex=9597, eps=1.000, 560.16s)
89: acc=67.47% acc_corr=70.30% avg#q_ae=38.26 med#q=90.0, avg_margin=4.58, buff=19194, (n_ex=9597, eps=1.000, 565.62s)
90: acc=67.07% acc_corr=69.89% avg#q_ae=39.00 med#q=91.0, avg_margin=4.55, buff=19194, (n_ex=9597, eps=1.000, 571.05s)
91: acc=66.69% acc_corr=69.49% avg#q_ae=39.70 med#q=92.0, avg_margin=4.52, buff=19194, (n_ex=9597, eps=1.000, 576.49s)
92: acc=66.48% acc_corr=69.27% avg#q_ae=40.09 med#q=93.0, avg_margin=4.50, buff=19194, (n_ex=9597, eps=1.000, 581.77s)
93: acc=66.37% acc_corr=69.16% avg#q_ae=40.29 med#q=94.0, avg_margin=4.48, buff=19194, (n_ex=9597, eps=1.000, 587.11s)
94: acc=66.13% acc_corr=68.91% avg#q_ae=40.74 med#q=95.0, avg_margin=4.46, buff=19194, (n_ex=9597, eps=1.000, 592.37s)
95: acc=65.99% acc_corr=68.76% avg#q_ae=41.00 med#q=96.0, avg_margin=4.44, buff=19194, (n_ex=9597, eps=1.000, 597.67s)
96: acc=65.90% acc_corr=68.67% avg#q_ae=41.17 med#q=97.0, avg_margin=4.43, buff=19194, (n_ex=9597, eps=1.000, 602.97s)
97: acc=65.60% acc_corr=68.35% avg#q_ae=41.74 med#q=98.0, avg_margin=4.40, buff=19194, (n_ex=9597, eps=1.000, 608.29s)
98: acc=65.42% acc_corr=68.17% avg#q_ae=42.09 med#q=99.0, avg_margin=4.39, buff=19194, (n_ex=9597, eps=1.000, 613.63s)
99: acc=65.13% acc_corr=67.86% avg#q_ae=42.64 med#q=100.0, avg_margin=4.36, buff=19194, (n_ex=9597, eps=1.000, 618.94s)
100: acc=65.01% acc_corr=67.74% avg#q_ae=42.87 med#q=101.0, avg_margin=4.35, buff=19194, (n_ex=9597, eps=1.000, 624.11s)
101: acc=64.81% acc_corr=67.53% avg#q_ae=43.26 med#q=102.0, avg_margin=4.33, buff=19194, (n_ex=9597, eps=1.000, 629.29s)
