2021-03-26_19-45-48_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps4
98: acc=81.48% acc_corr=84.90% avg#q_ae=43.01 med#q=99.0, avg_margin=6.17, buff=19194, (n_ex=9597, eps=4.000, 621.55s)
99: acc=81.41% acc_corr=84.83% avg#q_ae=43.29 med#q=100.0, avg_margin=6.15, buff=19194, (n_ex=9597, eps=4.000, 627.48s)
100: acc=81.34% acc_corr=84.76% avg#q_ae=43.57 med#q=101.0, avg_margin=6.14, buff=19194, (n_ex=9597, eps=4.000, 633.31s)
101: acc=81.16% acc_corr=84.57% avg#q_ae=44.29 med#q=102.0, avg_margin=6.12, buff=19194, (n_ex=9597, eps=4.000, 639.23s)
102: acc=81.04% acc_corr=84.44% avg#q_ae=44.77 med#q=103.0, avg_margin=6.11, buff=19194, (n_ex=9597, eps=4.000, 645.04s)
103: acc=80.87% acc_corr=84.27% avg#q_ae=45.45 med#q=104.0, avg_margin=6.09, buff=19194, (n_ex=9597, eps=4.000, 650.90s)
104: acc=80.68% acc_corr=84.07% avg#q_ae=46.20 med#q=105.0, avg_margin=6.07, buff=19194, (n_ex=9597, eps=4.000, 656.69s)
105: acc=80.52% acc_corr=83.90% avg#q_ae=46.83 med#q=106.0, avg_margin=6.05, buff=19194, (n_ex=9597, eps=4.000, 662.50s)
106: acc=80.38% acc_corr=83.76% avg#q_ae=47.38 med#q=107.0, avg_margin=6.03, buff=19194, (n_ex=9597, eps=4.000, 668.27s)
107: acc=80.17% acc_corr=83.54% avg#q_ae=48.20 med#q=108.0, avg_margin=6.01, buff=19194, (n_ex=9597, eps=4.000, 674.14s)
108: acc=80.08% acc_corr=83.44% avg#q_ae=48.55 med#q=109.0, avg_margin=6.00, buff=19194, (n_ex=9597, eps=4.000, 679.99s)
109: acc=79.95% acc_corr=83.31% avg#q_ae=49.06 med#q=110.0, avg_margin=5.99, buff=19194, (n_ex=9597, eps=4.000, 685.80s)
110: acc=79.89% acc_corr=83.24% avg#q_ae=49.29 med#q=111.0, avg_margin=5.97, buff=19194, (n_ex=9597, eps=4.000, 691.47s)
111: acc=79.69% acc_corr=83.04% avg#q_ae=50.08 med#q=112.0, avg_margin=5.95, buff=19194, (n_ex=9597, eps=4.000, 697.13s)
112: acc=79.55% acc_corr=82.89% avg#q_ae=50.62 med#q=113.0, avg_margin=5.94, buff=19194, (n_ex=9597, eps=4.000, 702.78s)
113: acc=79.43% acc_corr=82.77% avg#q_ae=51.09 med#q=114.0, avg_margin=5.93, buff=19194, (n_ex=9597, eps=4.000, 708.45s)
