

All hps: 2021-03-10 11:51:39 model=wrn-28-10-drop dataset=cifar10 attack=square_linf n_ex=10000 eps=8.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
2021-03-10_11-52-00_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1__Eps8
113: acc=48.71% acc_corr=50.76% avg#q_ae=41.30 med#q=114.0, avg_margin=2.48, buff=19194, (n_ex=9597, eps=8.000, 535.18s)
114: acc=48.65% acc_corr=50.69% avg#q_ae=41.40 med#q=115.0, avg_margin=2.47, buff=19194, (n_ex=9597, eps=8.000, 538.80s)
115: acc=48.55% acc_corr=50.59% avg#q_ae=41.56 med#q=116.0, avg_margin=2.46, buff=19194, (n_ex=9597, eps=8.000, 542.41s)
116: acc=48.47% acc_corr=50.51% avg#q_ae=41.69 med#q=117.0, avg_margin=2.45, buff=19194, (n_ex=9597, eps=8.000, 546.09s)
117: acc=48.17% acc_corr=50.19% avg#q_ae=42.17 med#q=118.0, avg_margin=2.43, buff=19194, (n_ex=9597, eps=8.000, 549.67s)
118: acc=47.97% acc_corr=49.98% avg#q_ae=42.49 med#q=119.0, avg_margin=2.42, buff=19194, (n_ex=9597, eps=8.000, 553.36s)
119: acc=47.81% acc_corr=49.82% avg#q_ae=42.76 med#q=119.0, avg_margin=2.41, buff=19194, (n_ex=9597, eps=8.000, 556.94s)
120: acc=47.62% acc_corr=49.62% avg#q_ae=43.07 med#q=119.0, avg_margin=2.39, buff=19194, (n_ex=9597, eps=8.000, 560.40s)
121: acc=47.50% acc_corr=49.49% avg#q_ae=43.26 med#q=119.0, avg_margin=2.39, buff=19194, (n_ex=9597, eps=8.000, 563.93s)
122: acc=47.23% acc_corr=49.21% avg#q_ae=43.71 med#q=119.0, avg_margin=2.37, buff=19194, (n_ex=9597, eps=8.000, 567.50s)
123: acc=47.06% acc_corr=49.04% avg#q_ae=43.99 med#q=119.0, avg_margin=2.36, buff=19194, (n_ex=9597, eps=8.000, 570.83s)
124: acc=46.99% acc_corr=48.96% avg#q_ae=44.11 med#q=119.0, avg_margin=2.35, buff=19194, (n_ex=9597, eps=8.000, 574.39s)
125: acc=46.87% acc_corr=48.84% avg#q_ae=44.31 med#q=119.0, avg_margin=2.34, buff=19194, (n_ex=9597, eps=8.000, 577.83s)
126: acc=46.72% acc_corr=48.68% avg#q_ae=44.57 med#q=119.0, avg_margin=2.33, buff=19194, (n_ex=9597, eps=8.000, 581.34s)
127: acc=46.55% acc_corr=48.50% avg#q_ae=44.86 med#q=119.0, avg_margin=2.32, buff=19194, (n_ex=9597, eps=8.000, 584.90s)
128: acc=46.47% acc_corr=48.42% avg#q_ae=45.00 med#q=119.0, avg_margin=2.31, buff=19194, (n_ex=9597, eps=8.000, 588.27s)
129: acc=46.21% acc_corr=48.15% avg#q_ae=45.45 med#q=119.0, avg_margin=2.29, buff=19194, (n_ex=9597, eps=8.000, 591.79s)
130: acc=46.02% acc_corr=47.95% avg#q_ae=45.78 med#q=119.0, avg_margin=2.28, buff=19194, (n_ex=9597, eps=8.000, 595.50s)
131: acc=45.70% acc_corr=47.62% avg#q_ae=46.33 med#q=119.0, avg_margin=2.25, buff=19194, (n_ex=9597, eps=8.000, 598.88s)
132: acc=45.60% acc_corr=47.51% avg#q_ae=46.51 med#q=119.0, avg_margin=2.24, buff=19194, (n_ex=9597, eps=8.000, 602.29s)
133: acc=45.41% acc_corr=47.32% avg#q_ae=46.84 med#q=119.0, avg_margin=2.23, buff=19194, (n_ex=9597, eps=8.000, 605.68s)
134: acc=45.27% acc_corr=47.17% avg#q_ae=47.08 med#q=119.0, avg_margin=2.21, buff=19194, (n_ex=9597, eps=8.000, 609.00s)
135: acc=45.20% acc_corr=47.10% avg#q_ae=47.21 med#q=119.0, avg_margin=2.21, buff=19194, (n_ex=9597, eps=8.000, 612.22s)
136: acc=45.18% acc_corr=47.08% avg#q_ae=47.24 med#q=119.0, avg_margin=2.21, buff=19194, (n_ex=9597, eps=8.000, 615.50s)
137: acc=45.05% acc_corr=46.94% avg#q_ae=47.48 med#q=119.0, avg_margin=2.19, buff=19194, (n_ex=9597, eps=8.000, 618.88s)
138: acc=44.98% acc_corr=46.87% avg#q_ae=47.61 med#q=119.0, avg_margin=2.18, buff=19194, (n_ex=9597, eps=8.000, 622.18s)
139: acc=44.79% acc_corr=46.67% avg#q_ae=47.95 med#q=119.0, avg_margin=2.17, buff=19194, (n_ex=9597, eps=8.000, 625.40s)
140: acc=44.75% acc_corr=46.63% avg#q_ae=48.03 med#q=119.0, avg_margin=2.17, buff=19194, (n_ex=9597, eps=8.000, 628.67s)
141: acc=44.63% acc_corr=46.50% avg#q_ae=48.25 med#q=119.0, avg_margin=2.16, buff=19194, (n_ex=9597, eps=8.000, 631.97s)
142: acc=44.52% acc_corr=46.39% avg#q_ae=48.45 med#q=119.0, avg_margin=2.15, buff=19194, (n_ex=9597, eps=8.000, 635.36s)
143: acc=44.30% acc_corr=46.16% avg#q_ae=48.86 med#q=119.0, avg_margin=2.13, buff=19194, (n_ex=9597, eps=8.000, 638.59s)
144: acc=44.20% acc_corr=46.06% avg#q_ae=49.05 med#q=119.0, avg_margin=2.12, buff=19194, (n_ex=9597, eps=8.000, 641.74s)
145: acc=44.14% acc_corr=45.99% avg#q_ae=49.16 med#q=119.0, avg_margin=2.11, buff=19194, (n_ex=9597, eps=8.000, 645.04s)
146: acc=43.98% acc_corr=45.83% avg#q_ae=49.47 med#q=119.0, avg_margin=2.10, buff=19194, (n_ex=9597, eps=8.000, 648.21s)
147: acc=43.94% acc_corr=45.79% avg#q_ae=49.54 med#q=119.0, avg_margin=2.10, buff=19194, (n_ex=9597, eps=8.000, 651.37s)
148: acc=43.84% acc_corr=45.68% avg#q_ae=49.74 med#q=119.0, avg_margin=2.09, buff=19194, (n_ex=9597, eps=8.000, 654.46s)
149: acc=43.73% acc_corr=45.57% avg#q_ae=49.95 med#q=119.0, avg_margin=2.08, buff=19194, (n_ex=9597, eps=8.000, 657.60s)
150: acc=43.60% acc_corr=45.43% avg#q_ae=50.20 med#q=119.0, avg_margin=2.07, buff=19194, (n_ex=9597, eps=8.000, 660.68s)
151: acc=43.48% acc_corr=45.31% avg#q_ae=50.44 med#q=119.0, avg_margin=2.06, buff=19194, (n_ex=9597, eps=8.000, 663.76s)
152: acc=43.23% acc_corr=45.05% avg#q_ae=50.93 med#q=119.0, avg_margin=2.04, buff=19194, (n_ex=9597, eps=8.000, 666.85s)
153: acc=43.04% acc_corr=44.85% avg#q_ae=51.30 med#q=119.0, avg_margin=2.03, buff=19194, (n_ex=9597, eps=8.000, 669.92s)
154: acc=42.94% acc_corr=44.74% avg#q_ae=51.50 med#q=119.0, avg_margin=2.02, buff=19194, (n_ex=9597, eps=8.000, 672.97s)
155: acc=42.75% acc_corr=44.55% avg#q_ae=51.88 med#q=119.0, avg_margin=2.00, buff=19194, (n_ex=9597, eps=8.000, 676.12s)
156: acc=42.51% acc_corr=44.30% avg#q_ae=52.35 med#q=119.0, avg_margin=1.98, buff=19194, (n_ex=9597, eps=8.000, 679.18s)
157: acc=42.32% acc_corr=44.10% avg#q_ae=52.73 med#q=119.0, avg_margin=1.97, buff=19194, (n_ex=9597, eps=8.000, 682.32s)
158: acc=42.28% acc_corr=44.06% avg#q_ae=52.81 med#q=119.0, avg_margin=1.96, buff=19194, (n_ex=9597, eps=8.000, 685.59s)
159: acc=42.02% acc_corr=43.78% avg#q_ae=53.33 med#q=119.0, avg_margin=1.94, buff=19194, (n_ex=9597, eps=8.000, 688.68s)
160: acc=41.94% acc_corr=43.70% avg#q_ae=53.49 med#q=119.0, avg_margin=1.94, buff=19194, (n_ex=9597, eps=8.000, 691.81s)
161: acc=41.82% acc_corr=43.58% avg#q_ae=53.74 med#q=119.0, avg_margin=1.93, buff=19194, (n_ex=9597, eps=8.000, 694.96s)
162: acc=41.64% acc_corr=43.39% avg#q_ae=54.10 med#q=119.0, avg_margin=1.92, buff=19194, (n_ex=9597, eps=8.000, 698.12s)
163: acc=41.47% acc_corr=43.21% avg#q_ae=54.45 med#q=119.0, avg_margin=1.90, buff=19194, (n_ex=9597, eps=8.000, 701.20s)
164: acc=41.24% acc_corr=42.97% avg#q_ae=54.92 med#q=119.0, avg_margin=1.89, buff=19194, (n_ex=9597, eps=8.000, 704.27s)
165: acc=41.16% acc_corr=42.89% avg#q_ae=55.08 med#q=119.0, avg_margin=1.88, buff=19194, (n_ex=9597, eps=8.000, 707.28s)
166: acc=41.06% acc_corr=42.78% avg#q_ae=55.29 med#q=119.0, avg_margin=1.87, buff=19194, (n_ex=9597, eps=8.000, 710.25s)
167: acc=40.77% acc_corr=42.48% avg#q_ae=55.88 med#q=119.0, avg_margin=1.84, buff=19194, (n_ex=9597, eps=8.000, 713.35s)
168: acc=40.74% acc_corr=42.45% avg#q_ae=55.95 med#q=119.0, avg_margin=1.84, buff=19194, (n_ex=9597, eps=8.000, 716.43s)
169: acc=40.61% acc_corr=42.32% avg#q_ae=56.22 med#q=119.0, avg_margin=1.83, buff=19194, (n_ex=9597, eps=8.000, 719.45s)
170: acc=40.58% acc_corr=42.28% avg#q_ae=56.28 med#q=119.0, avg_margin=1.83, buff=19194, (n_ex=9597, eps=8.000, 722.50s)
171: acc=40.48% acc_corr=42.18% avg#q_ae=56.49 med#q=119.0, avg_margin=1.82, buff=19194, (n_ex=9597, eps=8.000, 725.51s)
172: acc=40.37% acc_corr=42.07% avg#q_ae=56.72 med#q=119.0, avg_margin=1.81, buff=19194, (n_ex=9597, eps=8.000, 728.44s)
173: acc=40.10% acc_corr=41.78% avg#q_ae=57.29 med#q=119.0, avg_margin=1.79, buff=19194, (n_ex=9597, eps=8.000, 731.46s)
174: acc=39.97% acc_corr=41.65% avg#q_ae=57.57 med#q=119.0, avg_margin=1.78, buff=19194, (n_ex=9597, eps=8.000, 734.41s)
