2021-05-05_00-03-05_EXACT_IFTY1_resnet_preact_HRZ0_RND1__Eps76
103: acc=4.01% acc_corr=4.03% avg#q_ae=5.15 med#q=1.0, avg_margin=-10.86, buff=19918, n_ex=9959, eps=76.500, 15.48s
104: acc=3.98% acc_corr=4.00% avg#q_ae=5.18 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 15.55s
105: acc=3.98% acc_corr=4.00% avg#q_ae=5.18 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 15.63s
106: acc=3.98% acc_corr=4.00% avg#q_ae=5.18 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 15.70s
107: acc=3.97% acc_corr=3.99% avg#q_ae=5.19 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 15.78s
108: acc=3.94% acc_corr=3.96% avg#q_ae=5.23 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 15.85s
109: acc=3.93% acc_corr=3.95% avg#q_ae=5.24 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 15.93s
110: acc=3.93% acc_corr=3.95% avg#q_ae=5.24 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 16.00s
111: acc=3.90% acc_corr=3.92% avg#q_ae=5.27 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 16.06s
112: acc=3.88% acc_corr=3.90% avg#q_ae=5.30 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 16.13s
113: acc=3.85% acc_corr=3.87% avg#q_ae=5.33 med#q=1.0, avg_margin=-10.87, buff=19918, n_ex=9959, eps=76.500, 16.20s
114: acc=3.83% acc_corr=3.85% avg#q_ae=5.35 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.27s
115: acc=3.83% acc_corr=3.85% avg#q_ae=5.35 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.35s
116: acc=3.81% acc_corr=3.83% avg#q_ae=5.38 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.42s
117: acc=3.80% acc_corr=3.82% avg#q_ae=5.39 med#q=1.0, avg_margin=-10.88, buff=19918, n_ex=9959, eps=76.500, 16.49s
