2021-05-08_02-19-18_MIDA_IFTY0_easydlmnist_HRZ0_RND1__Eps3
71: acc=9.84% acc_corr=10.01% avg#q_ae=22.32 med#q=19.0, avg_margin=-0.20, buff=19670, n_ex=9835, eps=3.000, 32514.08s
72: acc=9.64% acc_corr=9.80% avg#q_ae=22.44 med#q=19.0, avg_margin=-0.20, buff=19670, n_ex=9835, eps=3.000, 32620.03s
73: acc=9.44% acc_corr=9.60% avg#q_ae=22.56 med#q=19.0, avg_margin=-0.20, buff=19670, n_ex=9835, eps=3.000, 32729.34s
74: acc=9.10% acc_corr=9.25% avg#q_ae=22.76 med#q=19.0, avg_margin=-0.20, buff=19670, n_ex=9835, eps=3.000, 32838.84s
75: acc=8.86% acc_corr=9.01% avg#q_ae=22.91 med#q=19.0, avg_margin=-0.20, buff=19670, n_ex=9835, eps=3.000, 32940.12s
76: acc=8.54% acc_corr=8.68% avg#q_ae=23.10 med#q=19.0, avg_margin=-0.20, buff=19670, n_ex=9835, eps=3.000, 33038.53s
77: acc=8.28% acc_corr=8.42% avg#q_ae=23.27 med#q=19.0, avg_margin=-0.21, buff=19670, n_ex=9835, eps=3.000, 33271.23s
78: acc=8.09% acc_corr=8.23% avg#q_ae=23.38 med#q=19.0, avg_margin=-0.21, buff=19670, n_ex=9835, eps=3.000, 33366.76s
79: acc=7.93% acc_corr=8.06% avg#q_ae=23.49 med#q=19.0, avg_margin=-0.21, buff=19670, n_ex=9835, eps=3.000, 33459.69s
80: acc=7.67% acc_corr=7.80% avg#q_ae=23.65 med#q=19.0, avg_margin=-0.21, buff=19670, n_ex=9835, eps=3.000, 33548.59s
81: acc=7.38% acc_corr=7.50% avg#q_ae=23.84 med#q=19.0, avg_margin=-0.21, buff=19670, n_ex=9835, eps=3.000, 33765.91s
82: acc=7.26% acc_corr=7.38% avg#q_ae=23.92 med#q=19.0, avg_margin=-0.21, buff=19670, n_ex=9835, eps=3.000, 33856.88s
83: acc=6.96% acc_corr=7.08% avg#q_ae=24.12 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 33951.20s
84: acc=6.86% acc_corr=6.98% avg#q_ae=24.19 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 34037.92s
85: acc=6.72% acc_corr=6.83% avg#q_ae=24.29 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 34115.79s
86: acc=6.46% acc_corr=6.57% avg#q_ae=24.47 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 34189.88s
87: acc=6.36% acc_corr=6.47% avg#q_ae=24.54 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 34261.78s
88: acc=6.08% acc_corr=6.18% avg#q_ae=24.74 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 34333.69s
89: acc=5.94% acc_corr=6.04% avg#q_ae=24.84 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 34397.18s
90: acc=5.86% acc_corr=5.96% avg#q_ae=24.89 med#q=19.0, avg_margin=-0.22, buff=19670, n_ex=9835, eps=3.000, 34465.79s
91: acc=5.52% acc_corr=5.61% avg#q_ae=25.14 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34532.10s
92: acc=5.40% acc_corr=5.49% avg#q_ae=25.23 med#q=19.0, avg_margin=-0.23, buff=19670, n_ex=9835, eps=3.000, 34592.19s
