2021-05-05_00-17-17_EXACT_IFTY0_densenet_HRZ0_RND1__Eps3
88: acc=35.39% acc_corr=35.58% avg#q_ae=38.22 med#q=53.0, avg_margin=0.60, buff=19892, n_ex=9946, eps=3.000, 553.17s
89: acc=34.90% acc_corr=35.09% avg#q_ae=38.62 med#q=53.0, avg_margin=0.58, buff=19892, n_ex=9946, eps=3.000, 553.51s
90: acc=34.59% acc_corr=34.78% avg#q_ae=38.88 med#q=53.0, avg_margin=0.56, buff=19892, n_ex=9946, eps=3.000, 553.85s
91: acc=34.34% acc_corr=34.53% avg#q_ae=39.08 med#q=53.0, avg_margin=0.55, buff=19892, n_ex=9946, eps=3.000, 554.18s
92: acc=34.19% acc_corr=34.38% avg#q_ae=39.21 med#q=53.0, avg_margin=0.55, buff=19892, n_ex=9946, eps=3.000, 554.52s
93: acc=33.81% acc_corr=33.99% avg#q_ae=39.53 med#q=53.0, avg_margin=0.53, buff=19892, n_ex=9946, eps=3.000, 554.85s
94: acc=33.61% acc_corr=33.79% avg#q_ae=39.70 med#q=53.0, avg_margin=0.53, buff=19892, n_ex=9946, eps=3.000, 555.17s
95: acc=33.26% acc_corr=33.44% avg#q_ae=40.01 med#q=53.0, avg_margin=0.51, buff=19892, n_ex=9946, eps=3.000, 555.49s
96: acc=32.97% acc_corr=33.15% avg#q_ae=40.26 med#q=53.0, avg_margin=0.50, buff=19892, n_ex=9946, eps=3.000, 555.81s
97: acc=32.79% acc_corr=32.97% avg#q_ae=40.42 med#q=53.0, avg_margin=0.49, buff=19892, n_ex=9946, eps=3.000, 556.13s
98: acc=32.39% acc_corr=32.57% avg#q_ae=40.77 med#q=53.0, avg_margin=0.48, buff=19892, n_ex=9946, eps=3.000, 556.45s
99: acc=32.08% acc_corr=32.25% avg#q_ae=41.05 med#q=53.0, avg_margin=0.47, buff=19892, n_ex=9946, eps=3.000, 556.76s
100: acc=31.92% acc_corr=32.09% avg#q_ae=41.20 med#q=53.0, avg_margin=0.46, buff=19892, n_ex=9946, eps=3.000, 557.07s
101: acc=31.75% acc_corr=31.92% avg#q_ae=41.35 med#q=53.0, avg_margin=0.45, buff=19892, n_ex=9946, eps=3.000, 557.38s
102: acc=31.42% acc_corr=31.59% avg#q_ae=41.65 med#q=53.0, avg_margin=0.43, buff=19892, n_ex=9946, eps=3.000, 557.68s
103: acc=31.33% acc_corr=31.50% avg#q_ae=41.74 med#q=53.0, avg_margin=0.43, buff=19892, n_ex=9946, eps=3.000, 557.98s
104: acc=30.95% acc_corr=31.12% avg#q_ae=42.09 med#q=53.0, avg_margin=0.42, buff=19892, n_ex=9946, eps=3.000, 558.29s
105: acc=30.62% acc_corr=30.79% avg#q_ae=42.41 med#q=53.0, avg_margin=0.40, buff=19892, n_ex=9946, eps=3.000, 558.59s
106: acc=30.36% acc_corr=30.52% avg#q_ae=42.65 med#q=53.0, avg_margin=0.39, buff=19892, n_ex=9946, eps=3.000, 558.89s
107: acc=30.09% acc_corr=30.25% avg#q_ae=42.91 med#q=53.0, avg_margin=0.38, buff=19892, n_ex=9946, eps=3.000, 559.18s
108: acc=29.80% acc_corr=29.96% avg#q_ae=43.19 med#q=53.0, avg_margin=0.37, buff=19892, n_ex=9946, eps=3.000, 559.47s
109: acc=29.65% acc_corr=29.81% avg#q_ae=43.34 med#q=53.0, avg_margin=0.36, buff=19892, n_ex=9946, eps=3.000, 559.76s
110: acc=29.52% acc_corr=29.68% avg#q_ae=43.46 med#q=53.0, avg_margin=0.36, buff=19892, n_ex=9946, eps=3.000, 560.04s
111: acc=29.40% acc_corr=29.56% avg#q_ae=43.58 med#q=53.0, avg_margin=0.35, buff=19892, n_ex=9946, eps=3.000, 560.33s
