2021-05-05_00-13-12_EXACT_IFTY1_wrn_HRZ0_RND1__Eps76
58: acc=25.46% acc_corr=25.61% avg#q_ae=22.17 med#q=28.0, avg_margin=0.17, buff=19882, n_ex=9941, eps=76.500, 105.48s
59: acc=25.13% acc_corr=25.28% avg#q_ae=22.34 med#q=28.0, avg_margin=0.16, buff=19882, n_ex=9941, eps=76.500, 106.18s
60: acc=24.47% acc_corr=24.62% avg#q_ae=22.69 med#q=28.0, avg_margin=0.14, buff=19882, n_ex=9941, eps=76.500, 106.65s
61: acc=24.24% acc_corr=24.38% avg#q_ae=22.81 med#q=28.0, avg_margin=0.13, buff=19882, n_ex=9941, eps=76.500, 107.22s
62: acc=23.97% acc_corr=24.11% avg#q_ae=22.96 med#q=28.0, avg_margin=0.12, buff=19882, n_ex=9941, eps=76.500, 107.61s
63: acc=23.71% acc_corr=23.85% avg#q_ae=23.11 med#q=28.0, avg_margin=0.12, buff=19882, n_ex=9941, eps=76.500, 108.02s
64: acc=23.25% acc_corr=23.39% avg#q_ae=23.36 med#q=28.0, avg_margin=0.10, buff=19882, n_ex=9941, eps=76.500, 108.45s
65: acc=22.87% acc_corr=23.01% avg#q_ae=23.58 med#q=28.0, avg_margin=0.09, buff=19882, n_ex=9941, eps=76.500, 108.85s
66: acc=22.60% acc_corr=22.73% avg#q_ae=23.74 med#q=28.0, avg_margin=0.08, buff=19882, n_ex=9941, eps=76.500, 109.22s
67: acc=22.38% acc_corr=22.51% avg#q_ae=23.87 med#q=28.0, avg_margin=0.08, buff=19882, n_ex=9941, eps=76.500, 109.59s
68: acc=22.24% acc_corr=22.37% avg#q_ae=23.95 med#q=28.0, avg_margin=0.07, buff=19882, n_ex=9941, eps=76.500, 109.97s
69: acc=21.89% acc_corr=22.02% avg#q_ae=24.16 med#q=28.0, avg_margin=0.06, buff=19882, n_ex=9941, eps=76.500, 110.34s
70: acc=21.77% acc_corr=21.90% avg#q_ae=24.24 med#q=28.0, avg_margin=0.06, buff=19882, n_ex=9941, eps=76.500, 110.72s
71: acc=21.41% acc_corr=21.54% avg#q_ae=24.46 med#q=28.0, avg_margin=0.05, buff=19882, n_ex=9941, eps=76.500, 111.07s
72: acc=21.23% acc_corr=21.36% avg#q_ae=24.58 med#q=28.0, avg_margin=0.04, buff=19882, n_ex=9941, eps=76.500, 111.44s
73: acc=20.96% acc_corr=21.08% avg#q_ae=24.75 med#q=28.0, avg_margin=0.03, buff=19882, n_ex=9941, eps=76.500, 111.79s
74: acc=20.69% acc_corr=20.81% avg#q_ae=24.92 med#q=28.0, avg_margin=0.02, buff=19882, n_ex=9941, eps=76.500, 112.15s
75: acc=20.42% acc_corr=20.54% avg#q_ae=25.10 med#q=28.0, avg_margin=0.02, buff=19882, n_ex=9941, eps=76.500, 112.50s
76: acc=20.14% acc_corr=20.26% avg#q_ae=25.29 med#q=28.0, avg_margin=0.01, buff=19882, n_ex=9941, eps=76.500, 112.90s
77: acc=20.01% acc_corr=20.13% avg#q_ae=25.38 med#q=28.0, avg_margin=0.00, buff=19882, n_ex=9941, eps=76.500, 113.23s
78: acc=19.91% acc_corr=20.03% avg#q_ae=25.45 med#q=28.0, avg_margin=-0.00, buff=19882, n_ex=9941, eps=76.500, 113.59s
79: acc=19.67% acc_corr=19.79% avg#q_ae=25.61 med#q=28.0, avg_margin=-0.01, buff=19882, n_ex=9941, eps=76.500, 113.92s
80: acc=19.51% acc_corr=19.63% avg#q_ae=25.73 med#q=28.0, avg_margin=-0.02, buff=19882, n_ex=9941, eps=76.500, 114.32s
81: acc=19.31% acc_corr=19.42% avg#q_ae=25.87 med#q=28.0, avg_margin=-0.02, buff=19882, n_ex=9941, eps=76.500, 114.64s
82: acc=19.16% acc_corr=19.27% avg#q_ae=25.98 med#q=28.0, avg_margin=-0.02, buff=19882, n_ex=9941, eps=76.500, 114.95s
83: acc=18.93% acc_corr=19.04% avg#q_ae=26.15 med#q=28.0, avg_margin=-0.03, buff=19882, n_ex=9941, eps=76.500, 115.27s
84: acc=18.71% acc_corr=18.82% avg#q_ae=26.31 med#q=28.0, avg_margin=-0.04, buff=19882, n_ex=9941, eps=76.500, 115.59s
85: acc=18.42% acc_corr=18.53% avg#q_ae=26.53 med#q=28.0, avg_margin=-0.04, buff=19882, n_ex=9941, eps=76.500, 115.90s
86: acc=18.27% acc_corr=18.38% avg#q_ae=26.64 med#q=28.0, avg_margin=-0.05, buff=19882, n_ex=9941, eps=76.500, 116.22s
87: acc=18.07% acc_corr=18.18% avg#q_ae=26.79 med#q=28.0, avg_margin=-0.05, buff=19882, n_ex=9941, eps=76.500, 116.57s
88: acc=17.85% acc_corr=17.96% avg#q_ae=26.96 med#q=28.0, avg_margin=-0.06, buff=19882, n_ex=9941, eps=76.500, 116.88s
89: acc=17.52% acc_corr=17.62% avg#q_ae=27.22 med#q=28.0, avg_margin=-0.07, buff=19882, n_ex=9941, eps=76.500, 117.19s
90: acc=17.40% acc_corr=17.50% avg#q_ae=27.32 med#q=28.0, avg_margin=-0.07, buff=19882, n_ex=9941, eps=76.500, 117.49s
91: acc=17.31% acc_corr=17.41% avg#q_ae=27.39 med#q=28.0, avg_margin=-0.07, buff=19882, n_ex=9941, eps=76.500, 117.78s
92: acc=17.20% acc_corr=17.30% avg#q_ae=27.48 med#q=28.0, avg_margin=-0.08, buff=19882, n_ex=9941, eps=76.500, 118.07s
93: acc=17.08% acc_corr=17.18% avg#q_ae=27.58 med#q=28.0, avg_margin=-0.08, buff=19882, n_ex=9941, eps=76.500, 118.35s
94: acc=16.99% acc_corr=17.09% avg#q_ae=27.65 med#q=28.0, avg_margin=-0.08, buff=19882, n_ex=9941, eps=76.500, 118.64s
95: acc=16.88% acc_corr=16.98% avg#q_ae=27.74 med#q=28.0, avg_margin=-0.09, buff=19882, n_ex=9941, eps=76.500, 118.93s
96: acc=16.68% acc_corr=16.78% avg#q_ae=27.91 med#q=28.0, avg_margin=-0.09, buff=19882, n_ex=9941, eps=76.500, 119.20s
97: acc=16.48% acc_corr=16.58% avg#q_ae=28.09 med#q=28.0, avg_margin=-0.10, buff=19882, n_ex=9941, eps=76.500, 119.49s
98: acc=16.10% acc_corr=16.20% avg#q_ae=28.41 med#q=28.0, avg_margin=-0.11, buff=19882, n_ex=9941, eps=76.500, 119.78s
99: acc=15.96% acc_corr=16.05% avg#q_ae=28.54 med#q=28.0, avg_margin=-0.11, buff=19882, n_ex=9941, eps=76.500, 120.05s
100: acc=15.83% acc_corr=15.92% avg#q_ae=28.65 med#q=28.0, avg_margin=-0.12, buff=19882, n_ex=9941, eps=76.500, 120.34s
101: acc=15.71% acc_corr=15.80% avg#q_ae=28.76 med#q=28.0, avg_margin=-0.12, buff=19882, n_ex=9941, eps=76.500, 120.62s
102: acc=15.52% acc_corr=15.61% avg#q_ae=28.93 med#q=28.0, avg_margin=-0.12, buff=19882, n_ex=9941, eps=76.500, 120.90s
103: acc=15.34% acc_corr=15.43% avg#q_ae=29.09 med#q=28.0, avg_margin=-0.13, buff=19882, n_ex=9941, eps=76.500, 121.19s
104: acc=15.21% acc_corr=15.30% avg#q_ae=29.21 med#q=28.0, avg_margin=-0.13, buff=19882, n_ex=9941, eps=76.500, 121.46s
105: acc=15.08% acc_corr=15.17% avg#q_ae=29.33 med#q=28.0, avg_margin=-0.14, buff=19882, n_ex=9941, eps=76.500, 121.74s
106: acc=15.04% acc_corr=15.13% avg#q_ae=29.37 med#q=28.0, avg_margin=-0.14, buff=19882, n_ex=9941, eps=76.500, 122.00s
107: acc=14.92% acc_corr=15.01% avg#q_ae=29.48 med#q=28.0, avg_margin=-0.14, buff=19882, n_ex=9941, eps=76.500, 122.25s
108: acc=14.84% acc_corr=14.93% avg#q_ae=29.55 med#q=28.0, avg_margin=-0.15, buff=19882, n_ex=9941, eps=76.500, 122.56s
109: acc=14.76% acc_corr=14.85% avg#q_ae=29.63 med#q=28.0, avg_margin=-0.15, buff=19882, n_ex=9941, eps=76.500, 122.82s
110: acc=14.68% acc_corr=14.77% avg#q_ae=29.71 med#q=28.0, avg_margin=-0.15, buff=19882, n_ex=9941, eps=76.500, 123.07s
111: acc=14.57% acc_corr=14.66% avg#q_ae=29.82 med#q=28.0, avg_margin=-0.16, buff=19882, n_ex=9941, eps=76.500, 123.34s
112: acc=14.53% acc_corr=14.62% avg#q_ae=29.86 med#q=28.0, avg_margin=-0.16, buff=19882, n_ex=9941, eps=76.500, 123.63s
113: acc=14.35% acc_corr=14.44% avg#q_ae=30.04 med#q=28.0, avg_margin=-0.16, buff=19882, n_ex=9941, eps=76.500, 123.87s
114: acc=14.27% acc_corr=14.35% avg#q_ae=30.12 med#q=28.0, avg_margin=-0.17, buff=19882, n_ex=9941, eps=76.500, 124.11s
115: acc=14.21% acc_corr=14.29% avg#q_ae=30.18 med#q=28.0, avg_margin=-0.17, buff=19882, n_ex=9941, eps=76.500, 124.34s
116: acc=14.07% acc_corr=14.15% avg#q_ae=30.32 med#q=28.0, avg_margin=-0.17, buff=19882, n_ex=9941, eps=76.500, 124.58s
117: acc=13.99% acc_corr=14.07% avg#q_ae=30.41 med#q=28.0, avg_margin=-0.17, buff=19882, n_ex=9941, eps=76.500, 124.82s
118: acc=13.83% acc_corr=13.91% avg#q_ae=30.57 med#q=28.0, avg_margin=-0.18, buff=19882, n_ex=9941, eps=76.500, 125.06s
119: acc=13.72% acc_corr=13.80% avg#q_ae=30.69 med#q=28.0, avg_margin=-0.18, buff=19882, n_ex=9941, eps=76.500, 125.31s
120: acc=13.63% acc_corr=13.71% avg#q_ae=30.79 med#q=28.0, avg_margin=-0.18, buff=19882, n_ex=9941, eps=76.500, 125.55s
121: acc=13.52% acc_corr=13.60% avg#q_ae=30.90 med#q=28.0, avg_margin=-0.19, buff=19882, n_ex=9941, eps=76.500, 125.78s
122: acc=13.50% acc_corr=13.58% avg#q_ae=30.93 med#q=28.0, avg_margin=-0.19, buff=19882, n_ex=9941, eps=76.500, 126.01s
123: acc=13.44% acc_corr=13.52% avg#q_ae=30.99 med#q=28.0, avg_margin=-0.19, buff=19882, n_ex=9941, eps=76.500, 126.25s
124: acc=13.36% acc_corr=13.44% avg#q_ae=31.08 med#q=28.0, avg_margin=-0.19, buff=19882, n_ex=9941, eps=76.500, 126.49s
125: acc=13.30% acc_corr=13.38% avg#q_ae=31.15 med#q=28.0, avg_margin=-0.19, buff=19882, n_ex=9941, eps=76.500, 126.72s
126: acc=13.22% acc_corr=13.30% avg#q_ae=31.24 med#q=28.0, avg_margin=-0.20, buff=19882, n_ex=9941, eps=76.500, 126.94s
127: acc=13.20% acc_corr=13.28% avg#q_ae=31.26 med#q=28.0, avg_margin=-0.20, buff=19882, n_ex=9941, eps=76.500, 127.16s
128: acc=13.09% acc_corr=13.17% avg#q_ae=31.38 med#q=28.0, avg_margin=-0.20, buff=19882, n_ex=9941, eps=76.500, 127.39s
129: acc=13.01% acc_corr=13.09% avg#q_ae=31.48 med#q=28.0, avg_margin=-0.20, buff=19882, n_ex=9941, eps=76.500, 127.61s
130: acc=12.94% acc_corr=13.02% avg#q_ae=31.56 med#q=28.0, avg_margin=-0.21, buff=19882, n_ex=9941, eps=76.500, 127.84s
131: acc=12.93% acc_corr=13.01% avg#q_ae=31.57 med#q=28.0, avg_margin=-0.21, buff=19882, n_ex=9941, eps=76.500, 128.06s
132: acc=12.83% acc_corr=12.91% avg#q_ae=31.69 med#q=28.0, avg_margin=-0.21, buff=19882, n_ex=9941, eps=76.500, 128.27s
133: acc=12.66% acc_corr=12.74% avg#q_ae=31.89 med#q=28.0, avg_margin=-0.21, buff=19882, n_ex=9941, eps=76.500, 128.49s
134: acc=12.62% acc_corr=12.69% avg#q_ae=31.94 med#q=28.0, avg_margin=-0.22, buff=19882, n_ex=9941, eps=76.500, 128.70s
