2021-05-05_00-21-17_EXACT_IFTY0_wrn_HRZ0_RND1__Eps3
100: acc=35.44% acc_corr=35.65% avg#q_ae=37.34 med#q=58.0, avg_margin=0.51, buff=19882, n_ex=9941, eps=3.000, 896.32s
101: acc=35.33% acc_corr=35.54% avg#q_ae=37.45 med#q=58.0, avg_margin=0.51, buff=19882, n_ex=9941, eps=3.000, 896.93s
102: acc=35.17% acc_corr=35.38% avg#q_ae=37.62 med#q=58.0, avg_margin=0.50, buff=19882, n_ex=9941, eps=3.000, 897.55s
103: acc=34.96% acc_corr=35.17% avg#q_ae=37.84 med#q=58.0, avg_margin=0.49, buff=19882, n_ex=9941, eps=3.000, 898.16s
104: acc=34.83% acc_corr=35.04% avg#q_ae=37.97 med#q=58.0, avg_margin=0.48, buff=19882, n_ex=9941, eps=3.000, 898.77s
105: acc=34.47% acc_corr=34.67% avg#q_ae=38.36 med#q=58.0, avg_margin=0.48, buff=19882, n_ex=9941, eps=3.000, 899.38s
106: acc=34.31% acc_corr=34.51% avg#q_ae=38.53 med#q=58.0, avg_margin=0.47, buff=19882, n_ex=9941, eps=3.000, 899.98s
107: acc=33.96% acc_corr=34.16% avg#q_ae=38.90 med#q=58.0, avg_margin=0.46, buff=19882, n_ex=9941, eps=3.000, 900.58s
108: acc=33.51% acc_corr=33.71% avg#q_ae=39.39 med#q=58.0, avg_margin=0.44, buff=19882, n_ex=9941, eps=3.000, 901.18s
109: acc=33.27% acc_corr=33.47% avg#q_ae=39.65 med#q=58.0, avg_margin=0.43, buff=19882, n_ex=9941, eps=3.000, 901.78s
110: acc=33.06% acc_corr=33.26% avg#q_ae=39.88 med#q=58.0, avg_margin=0.42, buff=19882, n_ex=9941, eps=3.000, 903.59s
111: acc=32.59% acc_corr=32.78% avg#q_ae=40.39 med#q=58.0, avg_margin=0.41, buff=19882, n_ex=9941, eps=3.000, 904.18s
112: acc=32.48% acc_corr=32.67% avg#q_ae=40.51 med#q=58.0, avg_margin=0.40, buff=19882, n_ex=9941, eps=3.000, 904.76s
113: acc=32.29% acc_corr=32.48% avg#q_ae=40.72 med#q=58.0, avg_margin=0.39, buff=19882, n_ex=9941, eps=3.000, 905.33s
114: acc=32.05% acc_corr=32.24% avg#q_ae=40.99 med#q=58.0, avg_margin=0.39, buff=19882, n_ex=9941, eps=3.000, 905.90s
115: acc=31.62% acc_corr=31.81% avg#q_ae=41.47 med#q=58.0, avg_margin=0.37, buff=19882, n_ex=9941, eps=3.000, 906.47s
116: acc=31.21% acc_corr=31.40% avg#q_ae=41.93 med#q=58.0, avg_margin=0.36, buff=19882, n_ex=9941, eps=3.000, 907.04s
117: acc=30.99% acc_corr=31.17% avg#q_ae=42.18 med#q=58.0, avg_margin=0.35, buff=19882, n_ex=9941, eps=3.000, 907.60s
118: acc=30.59% acc_corr=30.77% avg#q_ae=42.63 med#q=58.0, avg_margin=0.34, buff=19882, n_ex=9941, eps=3.000, 908.15s
119: acc=30.40% acc_corr=30.58% avg#q_ae=42.85 med#q=58.0, avg_margin=0.33, buff=19882, n_ex=9941, eps=3.000, 908.70s
120: acc=30.23% acc_corr=30.41% avg#q_ae=43.04 med#q=58.0, avg_margin=0.33, buff=19882, n_ex=9941, eps=3.000, 909.24s
121: acc=30.03% acc_corr=30.21% avg#q_ae=43.28 med#q=58.0, avg_margin=0.32, buff=19882, n_ex=9941, eps=3.000, 909.78s
122: acc=29.89% acc_corr=30.07% avg#q_ae=43.44 med#q=58.0, avg_margin=0.31, buff=19882, n_ex=9941, eps=3.000, 910.32s
123: acc=29.75% acc_corr=29.93% avg#q_ae=43.60 med#q=58.0, avg_margin=0.31, buff=19882, n_ex=9941, eps=3.000, 910.87s
124: acc=29.46% acc_corr=29.63% avg#q_ae=43.94 med#q=58.0, avg_margin=0.30, buff=19882, n_ex=9941, eps=3.000, 911.35s
125: acc=29.24% acc_corr=29.41% avg#q_ae=44.20 med#q=58.0, avg_margin=0.29, buff=19882, n_ex=9941, eps=3.000, 911.83s
126: acc=29.07% acc_corr=29.24% avg#q_ae=44.41 med#q=58.0, avg_margin=0.29, buff=19882, n_ex=9941, eps=3.000, 912.30s
127: acc=28.82% acc_corr=28.99% avg#q_ae=44.71 med#q=58.0, avg_margin=0.28, buff=19882, n_ex=9941, eps=3.000, 912.77s
128: acc=28.73% acc_corr=28.90% avg#q_ae=44.81 med#q=58.0, avg_margin=0.28, buff=19882, n_ex=9941, eps=3.000, 913.24s
129: acc=28.43% acc_corr=28.60% avg#q_ae=45.18 med#q=58.0, avg_margin=0.27, buff=19882, n_ex=9941, eps=3.000, 913.70s
130: acc=28.25% acc_corr=28.42% avg#q_ae=45.40 med#q=58.0, avg_margin=0.26, buff=19882, n_ex=9941, eps=3.000, 914.16s
131: acc=27.94% acc_corr=28.11% avg#q_ae=45.78 med#q=58.0, avg_margin=0.25, buff=19882, n_ex=9941, eps=3.000, 914.62s
132: acc=27.90% acc_corr=28.07% avg#q_ae=45.83 med#q=58.0, avg_margin=0.25, buff=19882, n_ex=9941, eps=3.000, 915.07s
133: acc=27.78% acc_corr=27.94% avg#q_ae=45.98 med#q=58.0, avg_margin=0.24, buff=19882, n_ex=9941, eps=3.000, 915.52s
134: acc=27.55% acc_corr=27.71% avg#q_ae=46.27 med#q=58.0, avg_margin=0.24, buff=19882, n_ex=9941, eps=3.000, 915.97s
135: acc=27.37% acc_corr=27.53% avg#q_ae=46.49 med#q=58.0, avg_margin=0.23, buff=19882, n_ex=9941, eps=3.000, 916.42s
136: acc=27.19% acc_corr=27.35% avg#q_ae=46.72 med#q=58.0, avg_margin=0.22, buff=19882, n_ex=9941, eps=3.000, 916.87s
137: acc=26.96% acc_corr=27.12% avg#q_ae=47.01 med#q=58.0, avg_margin=0.22, buff=19882, n_ex=9941, eps=3.000, 917.31s
138: acc=26.83% acc_corr=26.99% avg#q_ae=47.18 med#q=58.0, avg_margin=0.21, buff=19882, n_ex=9941, eps=3.000, 917.74s
139: acc=26.67% acc_corr=26.83% avg#q_ae=47.39 med#q=58.0, avg_margin=0.21, buff=19882, n_ex=9941, eps=3.000, 918.17s
140: acc=26.57% acc_corr=26.73% avg#q_ae=47.52 med#q=58.0, avg_margin=0.20, buff=19882, n_ex=9941, eps=3.000, 918.60s
