2021-05-05_00-14-46_EXACT_IFTY0_resnet_preact_HRZ0_RND1__Eps3
56: acc=58.79% acc_corr=59.03% avg#q_ae=27.21 med#q=57.0, avg_margin=2.35, buff=19918, n_ex=9959, eps=3.000, 367.73s
57: acc=58.59% acc_corr=58.83% avg#q_ae=27.36 med#q=58.0, avg_margin=2.34, buff=19918, n_ex=9959, eps=3.000, 377.75s
58: acc=58.28% acc_corr=58.52% avg#q_ae=27.61 med#q=59.0, avg_margin=2.32, buff=19918, n_ex=9959, eps=3.000, 389.54s
59: acc=58.19% acc_corr=58.43% avg#q_ae=27.68 med#q=60.0, avg_margin=2.30, buff=19918, n_ex=9959, eps=3.000, 403.54s
60: acc=58.08% acc_corr=58.32% avg#q_ae=27.77 med#q=61.0, avg_margin=2.30, buff=19918, n_ex=9959, eps=3.000, 413.12s
61: acc=57.86% acc_corr=58.10% avg#q_ae=27.96 med#q=62.0, avg_margin=2.28, buff=19918, n_ex=9959, eps=3.000, 421.03s
62: acc=57.75% acc_corr=57.99% avg#q_ae=28.05 med#q=63.0, avg_margin=2.27, buff=19918, n_ex=9959, eps=3.000, 427.22s
63: acc=57.54% acc_corr=57.78% avg#q_ae=28.24 med#q=64.0, avg_margin=2.25, buff=19918, n_ex=9959, eps=3.000, 437.61s
64: acc=57.30% acc_corr=57.54% avg#q_ae=28.45 med#q=65.0, avg_margin=2.23, buff=19918, n_ex=9959, eps=3.000, 448.33s
65: acc=56.95% acc_corr=57.18% avg#q_ae=28.77 med#q=66.0, avg_margin=2.20, buff=19918, n_ex=9959, eps=3.000, 457.76s
66: acc=56.38% acc_corr=56.61% avg#q_ae=29.28 med#q=67.0, avg_margin=2.16, buff=19918, n_ex=9959, eps=3.000, 467.28s
67: acc=55.87% acc_corr=56.10% avg#q_ae=29.75 med#q=68.0, avg_margin=2.12, buff=19918, n_ex=9959, eps=3.000, 482.39s
68: acc=55.61% acc_corr=55.84% avg#q_ae=29.98 med#q=69.0, avg_margin=2.10, buff=19918, n_ex=9959, eps=3.000, 493.47s
69: acc=55.15% acc_corr=55.38% avg#q_ae=30.41 med#q=70.0, avg_margin=2.07, buff=19918, n_ex=9959, eps=3.000, 507.78s
70: acc=54.99% acc_corr=55.22% avg#q_ae=30.56 med#q=71.0, avg_margin=2.05, buff=19918, n_ex=9959, eps=3.000, 516.01s
71: acc=54.91% acc_corr=55.14% avg#q_ae=30.63 med#q=72.0, avg_margin=2.05, buff=19918, n_ex=9959, eps=3.000, 524.33s
72: acc=54.61% acc_corr=54.83% avg#q_ae=30.92 med#q=73.0, avg_margin=2.03, buff=19918, n_ex=9959, eps=3.000, 531.09s
73: acc=54.34% acc_corr=54.56% avg#q_ae=31.19 med#q=74.0, avg_margin=2.01, buff=19918, n_ex=9959, eps=3.000, 542.63s
74: acc=54.15% acc_corr=54.37% avg#q_ae=31.37 med#q=75.0, avg_margin=2.00, buff=19918, n_ex=9959, eps=3.000, 551.37s
75: acc=53.87% acc_corr=54.09% avg#q_ae=31.65 med#q=76.0, avg_margin=1.98, buff=19918, n_ex=9959, eps=3.000, 567.79s
76: acc=53.56% acc_corr=53.78% avg#q_ae=31.97 med#q=77.0, avg_margin=1.95, buff=19918, n_ex=9959, eps=3.000, 578.48s
77: acc=52.99% acc_corr=53.21% avg#q_ae=32.54 med#q=78.0, avg_margin=1.92, buff=19918, n_ex=9959, eps=3.000, 586.55s
78: acc=52.80% acc_corr=53.02% avg#q_ae=32.73 med#q=79.0, avg_margin=1.90, buff=19918, n_ex=9959, eps=3.000, 588.36s
79: acc=52.53% acc_corr=52.75% avg#q_ae=33.01 med#q=80.0, avg_margin=1.89, buff=19918, n_ex=9959, eps=3.000, 593.50s
80: acc=52.43% acc_corr=52.65% avg#q_ae=33.11 med#q=81.0, avg_margin=1.88, buff=19918, n_ex=9959, eps=3.000, 594.26s
81: acc=51.89% acc_corr=52.10% avg#q_ae=33.68 med#q=82.0, avg_margin=1.85, buff=19918, n_ex=9959, eps=3.000, 595.04s
82: acc=51.79% acc_corr=52.00% avg#q_ae=33.78 med#q=83.0, avg_margin=1.84, buff=19918, n_ex=9959, eps=3.000, 595.80s
83: acc=51.27% acc_corr=51.48% avg#q_ae=34.34 med#q=84.0, avg_margin=1.81, buff=19918, n_ex=9959, eps=3.000, 596.60s
84: acc=51.21% acc_corr=51.42% avg#q_ae=34.40 med#q=85.0, avg_margin=1.80, buff=19918, n_ex=9959, eps=3.000, 597.38s
85: acc=50.90% acc_corr=51.11% avg#q_ae=34.73 med#q=86.0, avg_margin=1.79, buff=19918, n_ex=9959, eps=3.000, 598.13s
86: acc=50.40% acc_corr=50.61% avg#q_ae=35.28 med#q=87.0, avg_margin=1.76, buff=19918, n_ex=9959, eps=3.000, 598.88s
87: acc=50.00% acc_corr=50.21% avg#q_ae=35.71 med#q=88.0, avg_margin=1.73, buff=19918, n_ex=9959, eps=3.000, 599.62s
88: acc=49.88% acc_corr=50.09% avg#q_ae=35.84 med#q=89.0, avg_margin=1.73, buff=19918, n_ex=9959, eps=3.000, 600.37s
89: acc=49.28% acc_corr=49.48% avg#q_ae=36.50 med#q=90.0, avg_margin=1.69, buff=19918, n_ex=9959, eps=3.000, 601.12s
90: acc=49.16% acc_corr=49.36% avg#q_ae=36.63 med#q=90.0, avg_margin=1.69, buff=19918, n_ex=9959, eps=3.000, 601.84s
91: acc=48.93% acc_corr=49.13% avg#q_ae=36.89 med#q=90.0, avg_margin=1.67, buff=19918, n_ex=9959, eps=3.000, 602.57s
92: acc=48.83% acc_corr=49.03% avg#q_ae=37.00 med#q=90.0, avg_margin=1.67, buff=19918, n_ex=9959, eps=3.000, 603.29s
93: acc=48.52% acc_corr=48.72% avg#q_ae=37.35 med#q=90.0, avg_margin=1.65, buff=19918, n_ex=9959, eps=3.000, 604.01s
94: acc=48.05% acc_corr=48.25% avg#q_ae=37.89 med#q=90.0, avg_margin=1.63, buff=19918, n_ex=9959, eps=3.000, 604.73s
95: acc=47.75% acc_corr=47.95% avg#q_ae=38.23 med#q=90.0, avg_margin=1.61, buff=19918, n_ex=9959, eps=3.000, 605.45s
96: acc=47.54% acc_corr=47.74% avg#q_ae=38.47 med#q=90.0, avg_margin=1.60, buff=19918, n_ex=9959, eps=3.000, 606.16s
97: acc=47.24% acc_corr=47.43% avg#q_ae=38.82 med#q=90.0, avg_margin=1.58, buff=19918, n_ex=9959, eps=3.000, 606.87s
98: acc=47.05% acc_corr=47.24% avg#q_ae=39.04 med#q=90.0, avg_margin=1.56, buff=19918, n_ex=9959, eps=3.000, 607.56s
99: acc=46.76% acc_corr=46.95% avg#q_ae=39.38 med#q=90.0, avg_margin=1.55, buff=19918, n_ex=9959, eps=3.000, 608.25s
100: acc=46.42% acc_corr=46.61% avg#q_ae=39.78 med#q=90.0, avg_margin=1.52, buff=19918, n_ex=9959, eps=3.000, 608.93s
101: acc=46.15% acc_corr=46.34% avg#q_ae=40.10 med#q=90.0, avg_margin=1.50, buff=19918, n_ex=9959, eps=3.000, 609.62s
102: acc=46.06% acc_corr=46.25% avg#q_ae=40.20 med#q=90.0, avg_margin=1.50, buff=19918, n_ex=9959, eps=3.000, 610.32s
103: acc=45.76% acc_corr=45.95% avg#q_ae=40.57 med#q=90.0, avg_margin=1.48, buff=19918, n_ex=9959, eps=3.000, 611.12s
104: acc=45.46% acc_corr=45.65% avg#q_ae=40.93 med#q=90.0, avg_margin=1.47, buff=19918, n_ex=9959, eps=3.000, 611.81s
105: acc=45.32% acc_corr=45.51% avg#q_ae=41.10 med#q=90.0, avg_margin=1.46, buff=19918, n_ex=9959, eps=3.000, 612.49s
