2021-05-05_00-12-41_EXACT_IFTY1_densenet_HRZ0_RND1__Eps76
81: acc=14.42% acc_corr=14.50% avg#q_ae=24.70 med#q=22.0, avg_margin=-0.24, buff=19892, n_ex=9946, eps=76.500, 89.70s
82: acc=14.12% acc_corr=14.20% avg#q_ae=24.91 med#q=22.0, avg_margin=-0.25, buff=19892, n_ex=9946, eps=76.500, 89.91s
83: acc=13.93% acc_corr=14.01% avg#q_ae=25.04 med#q=22.0, avg_margin=-0.26, buff=19892, n_ex=9946, eps=76.500, 90.07s
84: acc=13.81% acc_corr=13.88% avg#q_ae=25.13 med#q=22.0, avg_margin=-0.26, buff=19892, n_ex=9946, eps=76.500, 90.23s
85: acc=13.61% acc_corr=13.68% avg#q_ae=25.27 med#q=22.0, avg_margin=-0.27, buff=19892, n_ex=9946, eps=76.500, 90.39s
86: acc=13.20% acc_corr=13.27% avg#q_ae=25.57 med#q=22.0, avg_margin=-0.29, buff=19892, n_ex=9946, eps=76.500, 90.57s
87: acc=13.01% acc_corr=13.08% avg#q_ae=25.71 med#q=22.0, avg_margin=-0.30, buff=19892, n_ex=9946, eps=76.500, 90.73s
88: acc=12.79% acc_corr=12.86% avg#q_ae=25.87 med#q=22.0, avg_margin=-0.31, buff=19892, n_ex=9946, eps=76.500, 90.89s
89: acc=12.63% acc_corr=12.70% avg#q_ae=25.99 med#q=22.0, avg_margin=-0.31, buff=19892, n_ex=9946, eps=76.500, 91.06s
90: acc=12.43% acc_corr=12.50% avg#q_ae=26.14 med#q=22.0, avg_margin=-0.32, buff=19892, n_ex=9946, eps=76.500, 91.21s
91: acc=12.35% acc_corr=12.42% avg#q_ae=26.20 med#q=22.0, avg_margin=-0.33, buff=19892, n_ex=9946, eps=76.500, 91.36s
92: acc=12.17% acc_corr=12.24% avg#q_ae=26.34 med#q=22.0, avg_margin=-0.33, buff=19892, n_ex=9946, eps=76.500, 91.51s
93: acc=11.95% acc_corr=12.01% avg#q_ae=26.52 med#q=22.0, avg_margin=-0.34, buff=19892, n_ex=9946, eps=76.500, 91.66s
94: acc=11.56% acc_corr=11.62% avg#q_ae=26.83 med#q=22.0, avg_margin=-0.36, buff=19892, n_ex=9946, eps=76.500, 91.81s
95: acc=11.40% acc_corr=11.46% avg#q_ae=26.95 med#q=22.0, avg_margin=-0.36, buff=19892, n_ex=9946, eps=76.500, 91.95s
96: acc=11.18% acc_corr=11.24% avg#q_ae=27.13 med#q=22.0, avg_margin=-0.37, buff=19892, n_ex=9946, eps=76.500, 92.09s
97: acc=11.06% acc_corr=11.12% avg#q_ae=27.23 med#q=22.0, avg_margin=-0.37, buff=19892, n_ex=9946, eps=76.500, 92.23s
98: acc=10.92% acc_corr=10.98% avg#q_ae=27.34 med#q=22.0, avg_margin=-0.38, buff=19892, n_ex=9946, eps=76.500, 92.37s
99: acc=10.83% acc_corr=10.89% avg#q_ae=27.42 med#q=22.0, avg_margin=-0.38, buff=19892, n_ex=9946, eps=76.500, 92.50s
100: acc=10.52% acc_corr=10.58% avg#q_ae=27.68 med#q=22.0, avg_margin=-0.39, buff=19892, n_ex=9946, eps=76.500, 92.62s
101: acc=10.35% acc_corr=10.41% avg#q_ae=27.82 med#q=22.0, avg_margin=-0.40, buff=19892, n_ex=9946, eps=76.500, 92.74s
102: acc=10.24% acc_corr=10.30% avg#q_ae=27.91 med#q=22.0, avg_margin=-0.40, buff=19892, n_ex=9946, eps=76.500, 92.87s
103: acc=10.14% acc_corr=10.20% avg#q_ae=28.00 med#q=22.0, avg_margin=-0.41, buff=19892, n_ex=9946, eps=76.500, 92.98s
104: acc=10.01% acc_corr=10.06% avg#q_ae=28.11 med#q=22.0, avg_margin=-0.41, buff=19892, n_ex=9946, eps=76.500, 93.12s
105: acc=9.97% acc_corr=10.02% avg#q_ae=28.15 med#q=22.0, avg_margin=-0.41, buff=19892, n_ex=9946, eps=76.500, 93.24s
106: acc=9.89% acc_corr=9.94% avg#q_ae=28.22 med#q=22.0, avg_margin=-0.42, buff=19892, n_ex=9946, eps=76.500, 93.35s
107: acc=9.69% acc_corr=9.74% avg#q_ae=28.40 med#q=22.0, avg_margin=-0.43, buff=19892, n_ex=9946, eps=76.500, 93.47s
108: acc=9.51% acc_corr=9.56% avg#q_ae=28.56 med#q=22.0, avg_margin=-0.44, buff=19892, n_ex=9946, eps=76.500, 93.60s
109: acc=9.43% acc_corr=9.48% avg#q_ae=28.64 med#q=22.0, avg_margin=-0.44, buff=19892, n_ex=9946, eps=76.500, 93.72s
110: acc=9.33% acc_corr=9.38% avg#q_ae=28.73 med#q=22.0, avg_margin=-0.45, buff=19892, n_ex=9946, eps=76.500, 93.83s
111: acc=9.19% acc_corr=9.24% avg#q_ae=28.86 med#q=22.0, avg_margin=-0.45, buff=19892, n_ex=9946, eps=76.500, 93.95s
112: acc=9.09% acc_corr=9.14% avg#q_ae=28.96 med#q=22.0, avg_margin=-0.45, buff=19892, n_ex=9946, eps=76.500, 94.07s
113: acc=9.00% acc_corr=9.05% avg#q_ae=29.04 med#q=22.0, avg_margin=-0.46, buff=19892, n_ex=9946, eps=76.500, 94.18s
114: acc=8.88% acc_corr=8.93% avg#q_ae=29.16 med#q=22.0, avg_margin=-0.46, buff=19892, n_ex=9946, eps=76.500, 94.31s
115: acc=8.86% acc_corr=8.91% avg#q_ae=29.18 med#q=22.0, avg_margin=-0.47, buff=19892, n_ex=9946, eps=76.500, 94.41s
116: acc=8.76% acc_corr=8.81% avg#q_ae=29.27 med#q=22.0, avg_margin=-0.47, buff=19892, n_ex=9946, eps=76.500, 94.53s
117: acc=8.64% acc_corr=8.69% avg#q_ae=29.39 med#q=22.0, avg_margin=-0.48, buff=19892, n_ex=9946, eps=76.500, 94.63s
118: acc=8.49% acc_corr=8.54% avg#q_ae=29.54 med#q=22.0, avg_margin=-0.48, buff=19892, n_ex=9946, eps=76.500, 94.75s
